DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
231404594,12/31/2022 12:00:00 AM,03/04/2020 12:00:00 AM,0002,14,Pacific,1454,2,354,THEFT OF IDENTITY,0377,54,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,12900    WALSH                        AV,,33.9869,-118.4301
221916382,11/02/2022 12:00:00 AM,11/11/2020 12:00:00 AM,1200,19,Mission,1962,2,354,THEFT OF IDENTITY,0929 1822,31,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,15100    TAMARACK                     CT,,34.239,-118.4618
230110332,11/26/2020 12:00:00 AM,11/26/2020 12:00:00 AM,1000,01,Central,0132,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,2000 0913 0515,19,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,815,,,,200 S  OLIVE                        ST,,34.0535,-118.2491
230320974,12/08/2023 12:00:00 AM,04/22/2020 12:00:00 AM,0655,03,Southwest,0362,2,354,THEFT OF IDENTITY,1822 0100,50,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3800    POTOMAC                      AV,,34.016,-118.346
232104037,01/02/2023 12:00:00 AM,02/01/2020 12:00:00 AM,1700,21,Topanga,2148,2,940,EXTORTION,2000 0337,23,F,W,103,ALLEY,,,AO,Adult Other,940,,,,VANOWEN                      ST,WINNETKA                     AV,34.1938,-118.571
220319193,10/27/2022 12:00:00 AM,11/12/2020 12:00:00 AM,1500,03,Southwest,0393,2,946,OTHER MISCELLANEOUS CRIME,0602 0913 0400,53,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,946,,,,4100    GARTHWAITE                   AV,,34.0094,-118.3231
231110558,06/27/2023 12:00:00 AM,08/07/2020 12:00:00 AM,1400,11,Northeast,1149,2,946,OTHER MISCELLANEOUS CRIME,,26,M,B,710,OTHER PREMISE,,,IC,Invest Cont,946,,,,200 N  AVE 55,,34.1094,-118.1963
221509576,05/13/2022 12:00:00 AM,05/20/2020 12:00:00 AM,1500,15,N Hollywood,1543,2,625,OTHER ASSAULT,0444 0416 0356,48,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,625,,,,12100    BURBANK                      BL,,34.1721,-118.3965
221907738,04/01/2022 12:00:00 AM,01/01/2020 12:00:00 AM,1200,19,Mission,1987,2,354,THEFT OF IDENTITY,,16,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8500    MAMMOTH                      AV,,34.2249,-118.4344
230604435,01/11/2023 12:00:00 AM,12/13/2020 12:00:00 AM,2000,06,Hollywood,0667,1,310,BURGLARY,1822 0344,45,F,W,120,STORAGE SHED,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,5800    SANTA MONICA                 BL,,34.0944,-118.319
220908425,04/26/2022 12:00:00 AM,11/20/2020 12:00:00 AM,1600,09,Van Nuys,0952,1,310,BURGLARY,0344 1601,50,F,H,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,5200 N  SEPULVEDA                    BL,,34.1649,-118.4661
230911235,06/29/2023 12:00:00 AM,11/01/2020 12:00:00 AM,0600,09,Van Nuys,0964,2,354,THEFT OF IDENTITY,0377,46,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,5100    STANSBURY                    AV,,34.1635,-118.4411
230818509,11/20/2023 12:00:00 AM,01/01/2020 12:00:00 AM,0700,08,West LA,0823,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0601 1822,44,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,800    VIA DE LA PAZ,,34.0448,-118.5277
232109597,05/27/2023 12:00:00 AM,07/14/2020 12:00:00 AM,1655,21,Topanga,2118,2,354,THEFT OF IDENTITY,1822 0922 0929 0930,52,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,20400    CANTARA                      ST,,34.2191,-118.5771
221011819,07/20/2022 12:00:00 AM,07/19/2020 12:00:00 AM,1800,10,West Valley,1004,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344 1300,80,F,K,108,PARKING LOT,,,IC,Invest Cont,331,,,,18400    INGOMAR                      ST,,34.212,-118.534
231711215,06/12/2023 12:00:00 AM,11/12/2020 12:00:00 AM,1110,17,Devonshire,1701,2,354,THEFT OF IDENTITY,0929 1822 0930,51,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,20600    LUGANO                       WY,,34.2799,-118.5818
230507982,04/20/2023 12:00:00 AM,04/01/2020 12:00:00 AM,0001,05,Harbor,0563,2,624,BATTERY - SIMPLE ASSAULT,0913 1259,14,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,624,,,,700 S  LELAND                       ST,,33.7379,-118.3012
230714761,09/18/2023 12:00:00 AM,06/16/2020 12:00:00 AM,1445,07,Wilshire,0758,2,354,THEFT OF IDENTITY,0930,33,F,J,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1100 S  MUIRFIELD                    RD,,34.0537,-118.3327
221211022,04/26/2022 12:00:00 AM,04/26/2020 12:00:00 AM,2115,12,77th Street,1204,2,354,THEFT OF IDENTITY,0100,41,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1100 W  VERNON                       AV,,34.0037,-118.2938
230506149,02/28/2023 12:00:00 AM,07/01/2020 12:00:00 AM,1200,05,Harbor,0521,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,SANFORD,ANAHEIM,33.7694,-118.2955
221313048,06/17/2022 12:00:00 AM,01/01/2020 12:00:00 AM,0001,13,Newton,1303,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 0601,51,M,O,406,OTHER STORE,,,IC,Invest Cont,341,,,,1000    TOWNE                        AV,,34.0342,-118.2496
241904532,12/19/2023 12:00:00 AM,05/01/2020 12:00:00 AM,0005,19,Mission,1993,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1258 0522 0515 0913 1817 1801,8,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,815,,,8100 N  SEPULVEDA                    PL,,34.2181,-118.4664
230309845,04/24/2023 12:00:00 AM,09/01/2020 12:00:00 AM,1200,03,Southwest,0319,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0342 0913 1236 1906 1913,30,M,W,203,OTHER BUSINESS,,,AO,Adult Other,956,,,,1900    PARK GROVE                   AV,,34.0363,-118.2762
231810615,05/17/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1200,18,Southeast,1849,1,820,ORAL COPULATION,0913 0360 0507 1257,3,M,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,820,,,2000 E  115TH                        ST,,33.9305,-118.2363
220110779,04/21/2022 12:00:00 AM,11/28/2020 12:00:00 AM,1700,01,Central,0111,2,662,"BUNCO, GRAND THEFT",0800 0701 0344 1822,55,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,662,,,,500 W  CESAR E CHAVEZ               AV,,34.0592,-118.2414
220106694,02/16/2022 12:00:00 AM,03/13/2020 12:00:00 AM,1900,01,Central,0111,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1803 0344 0913,0,X,X,721,HIGH SCHOOL,,,IC,Invest Cont,668,,,,400 N  GRAND                        AV,,34.0595,-118.2451
230126260,12/11/2023 12:00:00 AM,12/10/2020 12:00:00 AM,0800,01,Central,0182,1,330,BURGLARY FROM VEHICLE,1822 1300 1307 0344,28,M,W,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,1100 S  GRAND                        AV,,34.0415,-118.262
231223480,11/21/2023 12:00:00 AM,02/02/2020 12:00:00 AM,0001,12,77th Street,1233,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,0,X,X,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,845,,,,5800    HAAS                         AV,,33.9891,-118.3167
221507610,03/28/2022 12:00:00 AM,03/22/2020 12:00:00 AM,0500,15,N Hollywood,1548,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0400 0416 0444,33,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,5200    HARMONY                      AV,,34.1649,-118.3665
